start_date_type,start_date,country,geo_scope,area_name,shutdown_type,affected_network,shutdown_extent,ordered_by,decision_maker,actual_cause,actual_cause_details,info_source,info_source_link,shutdown_status,end_date,duration,gov_justification,gov_just_details,gov_ack,legal_just,legal_method,gov_ack_source,gov_ack_quote,facebook_affected,twitter_affected,whatsapp_affected,instagram_affected,telegram_affected,other_affected,sms_affected,phonecall_affected,telcos_involved,telco_ack,telco_ack_source,telco_ack_quote,election,violence,hr_abuse_reported,users_targeted,users_target_detail,users_notified,econ_impact,event,an_link,region
,10/27/2017,Equatorial Guinea,"It affected locations in more than one state, province, or region",nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,,Elections,,News media article,https://www.enca.com/africa/eguinea-ruling-party-expected-to-maintain-grip-as-nation-votes,,11/11/2017,15,Unknown,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Africa
,11/2/2017,India,"It only affected one city, county, or village",Pulwama district,Shutdown,Mobile,Full network,Unknown,,Political instability,,News media article,http://www.greaterkashmir.com/news/front-page/two-army-men-militant-killed-in-pampore-gunfight-internet-suspended/264906.html,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Fighting between militants and security forces, resulting in three deaths.",,APAC
,11/9/2017,India,"It only affected one city, county, or village",Sikar district,Shutdown,"Broadband, Mobile",Full network,Local government,,Protests,,News media article,https://www.news18.com/news/india/sikar-standoff-farmers-lay-siege-to-collectorate-internet-services-shut-1515473.html,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Massive rally organized by farmers, at least partially in response to low prices for agricultural goods.",,APAC
,11/10/2017,Pakistan,"It only affected one city, county, or village","Cities of Karachi, Hyderabad, Peshawar and Quetta",Shutdown,"Broadband, Mobile",Full network,Unknown,,Other,,News media article,"https://www.samaa.tv/pakistan/2017/11/chehlum-security-mobile-phone-service-suspended-many-cities/, https://www.samaa.tv/pakistan/2017/11/chehlum-security-mobile-phone-service-suspended-many-cities/",,11/10/2017,0,Unknown,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,Chehlum holiday,,APAC
,11/12/2017,Equatorial Guinea,"It affected locations in more than one state, province, or region",nationwide,Shutdown,"Broadband, Mobile",Full network,Executive government,,Elections,,News media article,"https://www.enca.com/africa/eguinea-ruling-party-expected-to-maintain-grip-as-nation-votes, https://twitter.com/InternetIntel/status/933440018873573377, https://dyn.com/blog/2017-internet-intelligence-roundup/",,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Government in #EquatorialGuinea ordered internet blackout ahead of election.
Access to opposition websites had been blocked since 2013 and access to the social media website Facebook was stopped when the electoral campaign started on October 27.",,Africa
,11/13/2017,Somaliland,"It affected more than one city in the same state, province, or region",Somaliland,Shutdown,"Broadband, Mobile",Service-based,Executive government,,Elections,,Other,https://www.hrw.org/news/2017/11/10/shuttering-social-media-during-somalilands-elections,,,,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,,,,,,,,,,,Social media only,,,,,,,,,,,,,,,,Africa
,11/23/2017,India,"It only affected one city, county, or village","Aerocity Hotel, Indira Gandhi International Airport, New Delhi, Delhi 110037",Shutdown,"Broadband, Mobile",Full network,Unknown,,Other,,Other,,,11/23/2017,0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Experienced by Access Now staff in the hotel, who confirmed with hotel staff that the shutdown was due to Prime Minister Modi's visit nearby.",,APAC
,11/24/2017,India,"It affected more than one city in the same state, province, or region","13 districts in Haryana state (Jind, Hansi, Bhiwani, Hisar, Fatehabad, Karnal, Panipat, Kaithal, Rohtak, Sonipat, Jhajjar, Bhiwani and Charkhi Dadri)",Shutdown,Mobile,Full network,Local government,,Protests,,News media article,https://timesofindia.indiatimes.com/india/jat-protests-mobile-internet-services-suspended-in-13-haryana-districts/articleshow/61792893.cms,,11/26/2017,2,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,Dueling protests by Jat ethnic organization and ruling BJP party,,APAC
,11/25/2017,Pakistan,"It only affected one city, county, or village","Confirmed Karachi, Lahore, Faisalabad, Rawalpindi, Gujranwala, Islamabad, Quetta and Peshawar, likely nationwide",Shutdown,"Broadband, Mobile",Service-based,Executive government,,Protests,,Other,https://ooni.torproject.org/post/how-pakistan-blocked-social-media/ & https://digitalrightsfoundation.pk/press-release-drf-and-netblocks-find-blanket-and-nation-wide-ban-on-social-media-in-pakistan-and-demand-it-to-be-lifted-immediately/,,11/26/2017,1,Public safety/ Quell unrest/ Restore public order,,,,,,,Yes,,Yes,,Yes,"14 news websites, Facebook Messenger, WhatsApp web interface",,,,,,,,,,,,,,Mass protest at Faizabad Interchange by Islamist groups against perceived secularization of government.,,APAC
,12/1/2017,Pakistan,"It only affected one city, county, or village","Karachi, Hyderabad, Sukkur, Quetta",Shutdown,"Broadband, Mobile",Full network,Local government,,Unknown,,News media article,https://www.geo.tv/latest/170109-sindh-requests-suspension-of-cellular-services-on-eid-milad-un-nabi,,12/1/2017,0,Unknown,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,Eid Milad-un-Nabi holiday,,APAC
,12/3/2017,India,"It affected more than one city in the same state, province, or region",Bhilwara district and Chittorgarh district of Rajasthan state,Shutdown,Broadband,Full network,Unknown,,Political instability,,News media article,https://timesofindia.indiatimes.com/city/udaipur/tension-grips-nimbahera-on-eid-e-milad-2-cops-hurt/articleshow/61899624.cms,,,,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,,,,,,,,,,,,,,,,,,,,,,,,,Clashes between two communities broke out when a riot spun off the Muslim community's organized a procession for the the Eid-e-Milad holiday.,,APAC
,12/7/2017,Yemen,"It affected locations in more than one state, province, or region",Nationwide,"Shutdown, Throttle",Broadband,"Full network, Service-based",Non-government,,Conflict,,Other,https://smex.org/internet-shutdown-in-yemen-recurring-disruptions-threaten-civilian-safety-human-rights-and-press-freedom/,,12/14/2017,7,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Civil war, dissemination of videos documenting atrocities. Intermittent social media blocking and complete blackout.",,MENA
,12/8/2017,India,"It affected more than one city in the same state, province, or region",Rajsamand district,Shutdown,Mobile,Full network,Local government,,Information control,,News media article,http://www.thehindu.com/todays-paper/tp-national/muslim-man-hacked-burnt-in-rajasthan/article21293481.ece,,,,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,,,,,,,,,,,,,,,,,,,,,,,,,Brutal killing of a Muslim by a Hindu recorded in a video being circulated online.,,APAC
,12/11/2017,India,"It only affected one city, county, or village","Sopore district, Baramulla district, Handwara district and Kupwara district in Jammu & Kashmir state",Shutdown,Mobile,Full network,Unknown,,Political instability,,News media article,"https://www.medianama.com/2017/12/223-mobile-internet-shut-down-in-north-kashmir/, http://www.dailyexcelsior.com/mobile-internet-suspended-for-security-reasons-in-north-kashmir/",,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Fighting with militants in Handwara’s Yunso village.,,APAC
,12/12/2017,Ethiopia,"It affected more than one city in the same state, province, or region",Oromia region and Addis Ababa city,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Protests,,News media article,http://www.africanews.com/2017/12/12/ethiopia-restricts-internet-access-amidst-new-protests//,,April/2017 following the inauguration of the new prime minister,,Unknown,,,,,,,,,,,,Social media only,,,,,,,,,,,,,,Student protests in various university campuses against the killing of a student in Adigrat University & at least 15 civilians in Chelenko.,,Africa
,12/13/2017,India,"It only affected one city, county, or village",Udaipur city,Shutdown,Mobile,Full network,Local government,,Unknown,,News media article,https://economictimes.indiatimes.com/news/politics-and-nation/mobile-internet-services-remain-suspended-prohibitory-orders-in-place-in-udaipur/articleshow/62079767.cms,,12/14/2017,1,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,"Rallies in support of Shambhulal Regar, Hindu on trial for murder of Muslim",,APAC
,12/16/2017,India,"It affected more than one city in the same state, province, or region",Adilabad district of Telangana,Shutdown,"Broadband, Mobile",Full network,Unknown,,Unknown,,News media article,https://www.deccanchronicle.com/nation/current-affairs/171217/telangana-internet-cut-in-areas-hit-by-clashes.html,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,12/17/2017,India,"It affected more than one city in the same state, province, or region",Kupwara district in Jammu & Kashmir state,Shutdown,Mobile,Full network,Unknown,,Protests,,News media article,https://www.firstpost.com/india/jammu-and-kashmir-protests-in-kupwara-after-civilian-gets-killed-internet-suspended-across-district-4262681.html,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Apparent accidental killing of taxi driver by Indian military.,,APAC
,12/18/2017,India,"It affected more than one city in the same state, province, or region",Pulwama district and Shopian district in Jammu and Kashmir state,Shutdown,Mobile,Full network,Unknown,,Political instability,,News media article,http://www.greaterkashmir.com/news/kashmir/south-kashmir-mobile-internet-service-restored-after-three-days-in-shopian-pulwama/269664.html,,12/21/2017,3,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,,,,,,,,,,,,,,,,,,,,,,,,,Fighting between government and militants in Batmurran village of Shopian district.,,APAC
,12/20/2017,Iraq,"It affected more than one city in the same state, province, or region","Sulaymaniyah, Kurdistan",Shutdown,"Broadband, Mobile",Full network,Local government,,Unknown,,News media article,http://iraqnewsservice.com/2017/12/kurdish-forces-arrest-scores-of-civilians-cut-off-internet-in-sulaymaniyah/,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,MENA
